[1230/152926:ERROR:settings.cc(261)] Settings magic is not 1129342067
[0110/205026:ERROR:process_info.cc(330)] VirtualQueryEx: Access is denied. (0x5)
[0110/205026:ERROR:process_info.cc(547)] ReadMemoryInfo failed
[0110/205026:ERROR:process_reader_win.cc(233)] ReadMemory at 0x6b7d5d80 of 12 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0110/205026:WARNING:process_snapshot_win.cc(68)] ReadMemory ExceptionInformation failed
[0110/205026:WARNING:crash_report_exception_handler.cc(61)] ProcessSnapshotWin::Initialize failed
[0110/205026:ERROR:scoped_process_suspend.cc(38)] NtResumeProcess: An attempt was made to access an exiting process.  (0xc000010a)
[0413/181857.497:ERROR:process_info.cc(625)] range at 0xfffde000, size 0x230 fully unreadable
[0413/181857.534:ERROR:process_info.cc(625)] range at 0xfffdd000, size 0xf84 fully unreadable
[0413/181857.534:ERROR:process_info.cc(625)] range at 0xfffda000, size 0xf84 fully unreadable
[0413/181857.535:ERROR:process_info.cc(625)] range at 0xfffd7000, size 0xf84 fully unreadable
[0413/181857.535:ERROR:process_info.cc(625)] range at 0xfffaf000, size 0xf84 fully unreadable
[0413/181857.535:ERROR:process_info.cc(625)] range at 0xfffac000, size 0xf84 fully unreadable
[0413/181857.535:ERROR:process_info.cc(625)] range at 0xfffa6000, size 0xf84 fully unreadable
[0413/181857.535:ERROR:process_info.cc(625)] range at 0xfffa3000, size 0xf84 fully unreadable
[0413/181857.535:ERROR:process_info.cc(625)] range at 0xfffa0000, size 0xf84 fully unreadable
[0413/181857.535:ERROR:process_info.cc(625)] range at 0xfff9d000, size 0xf84 fully unreadable
[0413/181857.535:ERROR:process_info.cc(625)] range at 0xfffa9000, size 0xf84 fully unreadable
[0413/181857.535:ERROR:process_info.cc(625)] range at 0xfff9a000, size 0xf84 fully unreadable
[0413/181857.536:ERROR:process_info.cc(625)] range at 0xfff97000, size 0xf84 fully unreadable
[0413/181857.536:ERROR:process_info.cc(625)] range at 0xfff94000, size 0xf84 fully unreadable
[0413/181857.536:ERROR:process_info.cc(625)] range at 0xfff91000, size 0xf84 fully unreadable
[0413/181857.536:ERROR:process_info.cc(625)] range at 0xfff8e000, size 0xf84 fully unreadable
[0413/181857.536:ERROR:process_info.cc(625)] range at 0xfff8b000, size 0xf84 fully unreadable
[0413/181857.536:ERROR:process_info.cc(625)] range at 0xfff88000, size 0xf84 fully unreadable
[0413/181857.536:ERROR:process_info.cc(625)] range at 0xfff85000, size 0xf84 fully unreadable
[0413/181857.536:ERROR:process_info.cc(625)] range at 0xfff82000, size 0xf84 fully unreadable
[0413/181857.537:ERROR:process_info.cc(625)] range at 0xfff7f000, size 0xf84 fully unreadable
[0413/181857.537:ERROR:process_info.cc(625)] range at 0xfff7c000, size 0xf84 fully unreadable
[0413/181857.537:ERROR:process_info.cc(625)] range at 0xfff79000, size 0xf84 fully unreadable
[0413/181857.537:ERROR:process_info.cc(625)] range at 0xfff76000, size 0xf84 fully unreadable
[0413/181857.537:ERROR:process_info.cc(625)] range at 0xfff73000, size 0xf84 fully unreadable
[0413/181857.537:ERROR:process_info.cc(625)] range at 0xfff70000, size 0xf84 fully unreadable
[0413/181857.537:ERROR:process_info.cc(625)] range at 0xfff6d000, size 0xf84 fully unreadable
[0413/181857.537:ERROR:process_info.cc(625)] range at 0xfff6a000, size 0xf84 fully unreadable
[0413/181857.537:ERROR:process_info.cc(625)] range at 0xfff67000, size 0xf84 fully unreadable
[0413/181857.538:ERROR:process_info.cc(625)] range at 0xfff64000, size 0xf84 fully unreadable
[0413/181857.538:ERROR:process_info.cc(625)] range at 0xfff61000, size 0xf84 fully unreadable
[0413/181857.538:ERROR:process_info.cc(625)] range at 0xfff5e000, size 0xf84 fully unreadable
[0413/181857.538:ERROR:process_info.cc(625)] range at 0xfff5b000, size 0xf84 fully unreadable
[0413/181857.538:ERROR:process_info.cc(625)] range at 0xfff58000, size 0xf84 fully unreadable
[0413/181857.538:ERROR:process_info.cc(625)] range at 0xfff55000, size 0xf84 fully unreadable
[0413/181857.538:ERROR:process_info.cc(625)] range at 0xfff52000, size 0xf84 fully unreadable
[0413/181857.538:ERROR:process_info.cc(625)] range at 0xfff4f000, size 0xf84 fully unreadable
[0413/181857.539:ERROR:process_info.cc(625)] range at 0xfff4c000, size 0xf84 fully unreadable
[0413/181857.539:ERROR:process_info.cc(625)] range at 0xfff49000, size 0xf84 fully unreadable
[0413/181857.539:ERROR:process_info.cc(625)] range at 0xfff46000, size 0xf84 fully unreadable
[0413/181857.539:ERROR:process_info.cc(625)] range at 0xfff43000, size 0xf84 fully unreadable
[0413/181857.539:ERROR:process_info.cc(625)] range at 0xfff40000, size 0xf84 fully unreadable
